procs,N,execution_time,num_of_unique
40, 679, 0.057444, 117314
40, 680, 0.056131, 117497
40, 681, 0.057896, 117839
40, 682, 0.053459, 118082
40, 683, 0.057627, 118765
40, 684, 0.065368, 118938
40, 685, 0.076053, 119295
40, 686, 0.057064, 119538
40, 687, 0.058754, 119883
40, 688, 0.057142, 120113
40, 689, 0.062749, 120500
40, 690, 0.058282, 120677
40, 691, 0.058694, 121368
40, 692, 0.057038, 121658
40, 693, 0.061407, 121877
40, 694, 0.057370, 122225
40, 695, 0.058013, 122586
40, 696, 0.060423, 122771
40, 697, 0.057805, 123181
40, 698, 0.058263, 123531
40, 699, 0.058124, 123882
40, 700, 0.057889, 124061
40, 701, 0.061203, 124762
40, 702, 0.057288, 124948
40, 703, 0.054492, 125376
40, 704, 0.058712, 125581
40, 705, 0.056476, 125843
40, 706, 0.061150, 126197
40, 707, 0.057906, 126575
40, 708, 0.061321, 126789
40, 709, 0.061048, 127498
40, 710, 0.055794, 127754
40, 711, 0.053374, 128053
40, 712, 0.058155, 128312
40, 713, 0.054853, 128752
40, 714, 0.057773, 128945
40, 715, 0.058651, 129232
40, 716, 0.056926, 129532
40, 717, 0.057985, 129892
40, 718, 0.057210, 130252
40, 719, 0.057219, 130971
40, 720, 0.058146, 131118
40, 721, 0.055058, 131503
40, 722, 0.053916, 131794
40, 723, 0.057973, 132157
40, 724, 0.058700, 132460
40, 725, 0.058473, 132788
40, 726, 0.053756, 133011
40, 727, 0.058008, 133738
40, 728, 0.054406, 133937
40, 729, 0.058280, 134222
40, 730, 0.058106, 134484
40, 731, 0.057391, 134909
40, 732, 0.054850, 135130
40, 733, 0.057300, 135863
40, 734, 0.055768, 136231
40, 735, 0.059563, 136455
40, 736, 0.058830, 136678
40, 737, 0.054503, 137088
40, 738, 0.061926, 137311
40, 739, 0.057054, 138050
40, 740, 0.058702, 138276
40, 741, 0.059111, 138546
40, 742, 0.058868, 138810
40, 743, 0.057156, 139553
40, 744, 0.055346, 139751
40, 745, 0.058173, 140139
40, 746, 0.057265, 140513
40, 747, 0.058309, 140827
40, 748, 0.058962, 141053
40, 749, 0.058479, 141452
40, 750, 0.063304, 141641
40, 751, 0.059609, 142392
40, 752, 0.059907, 142641
40, 753, 0.079902, 143019
40, 754, 0.058630, 143299
40, 755, 0.060125, 143691
40, 756, 0.058336, 143859
40, 757, 0.058855, 144616
40, 758, 0.079365, 144996
40, 759, 0.055514, 145272
40, 760, 0.058082, 145482
40, 761, 0.057920, 146243
40, 762, 0.058061, 146524
40, 763, 0.059045, 146930
40, 764, 0.055142, 147250
40, 765, 0.055886, 147500
40, 766, 0.054739, 147884
40, 767, 0.057525, 148316
40, 768, 0.057965, 148510
40, 769, 0.055056, 149279
40, 770, 0.061413, 149480
40, 771, 0.058421, 149867
40, 772, 0.056876, 150190
40, 773, 0.057529, 150963
40, 774, 0.058156, 151196
40, 775, 0.056518, 151540
40, 776, 0.056001, 151822
40, 777, 0.060381, 152108
40, 778, 0.057482, 152498
40, 779, 0.057737, 152963
40, 780, 0.054353, 153134
40, 781, 0.058151, 153568
40, 782, 0.055505, 153848
40, 783, 0.054903, 154149
40, 784, 0.055940, 154370
40, 785, 0.054189, 154778
40, 786, 0.058259, 155068
40, 787, 0.055679, 155855
40, 788, 0.058947, 156185
40, 789, 0.058235, 156581
40, 790, 0.056985, 156863
40, 791, 0.055312, 157283
40, 792, 0.059078, 157458
40, 793, 0.055598, 157903
40, 794, 0.055370, 158301
40, 795, 0.057538, 158596
40, 796, 0.056807, 158929
40, 797, 0.058816, 159726
40, 798, 0.056055, 159947
40, 799, 0.058792, 160409
40, 800, 0.057607, 160611
40, 801, 0.053929, 160947
40, 802, 0.055645, 161349
40, 803, 0.062423, 161793
40, 804, 0.057273, 162036
40, 805, 0.054918, 162347
40, 806, 0.057276, 162636
40, 807, 0.054672, 163041
40, 808, 0.058637, 163334
40, 809, 0.055544, 164143
40, 810, 0.053238, 164333
40, 811, 0.053892, 165144
40, 812, 0.055636, 165400
40, 813, 0.057862, 165808
40, 814, 0.054593, 166098
40, 815, 0.070459, 166521
40, 816, 0.060396, 166721
40, 817, 0.072151, 167202
40, 818, 0.061097, 167612
40, 819, 0.057226, 167862
40, 820, 0.064480, 168115
40, 821, 0.056413, 168936
40, 822, 0.077675, 169239
40, 823, 0.058843, 170062
40, 824, 0.058091, 170362
40, 825, 0.056448, 170609
40, 826, 0.055697, 170901
40, 827, 0.053975, 171728
40, 828, 0.056663, 171933
40, 829, 0.055798, 172762
40, 830, 0.058665, 173061
40, 831, 0.054299, 173478
40, 832, 0.055763, 173715
40, 833, 0.059026, 174082
40, 834, 0.056919, 174390
40, 835, 0.060007, 174824
40, 836, 0.058572, 175079
40, 837, 0.056590, 175393
40, 838, 0.057562, 175813
40, 839, 0.055930, 176652
40, 840, 0.054508, 176820
40, 841, 0.059662, 177394
40, 842, 0.059400, 177816
40, 843, 0.055456, 178239
40, 844, 0.057836, 178592
40, 845, 0.057173, 178957
40, 846, 0.055264, 179207
40, 847, 0.055028, 179599
40, 848, 0.059980, 179881
40, 849, 0.059935, 180307
40, 850, 0.058933, 180557
40, 851, 0.058521, 181079
40, 852, 0.055195, 181335
40, 853, 0.057559, 182188
40, 854, 0.058419, 182491
40, 855, 0.056009, 182758
40, 856, 0.057238, 183069
40, 857, 0.055772, 183926
40, 858, 0.059233, 184159
40, 859, 0.062577, 185018
40, 860, 0.057074, 185284
40, 861, 0.055009, 185602
40, 862, 0.059019, 186034
40, 863, 0.057183, 186897
40, 864, 0.057000, 187090
40, 865, 0.056314, 187540
40, 866, 0.058847, 187974
40, 867, 0.059017, 188335
40, 868, 0.055295, 188605
40, 869, 0.057656, 189084
40, 870, 0.057333, 189309
40, 871, 0.055931, 189798
40, 872, 0.055932, 190116
40, 873, 0.058587, 190482
40, 874, 0.061870, 190800
40, 875, 0.059880, 191137
40, 876, 0.056415, 191400
40, 877, 0.058734, 192277
40, 878, 0.056572, 192717
40, 879, 0.056646, 193158
40, 880, 0.055708, 193382
40, 881, 0.064582, 194263
40, 882, 0.065277, 194484
40, 883, 0.059841, 195367
40, 884, 0.061326, 195633
40, 885, 0.058049, 195960
40, 886, 0.061135, 196404
40, 887, 0.065518, 197291
40, 888, 0.058547, 197523
40, 889, 0.065394, 197998
40, 890, 0.060886, 198318
40, 891, 0.054992, 198625
40, 892, 0.055418, 198998
40, 893, 0.055807, 199518
40, 894, 0.058630, 199848
40, 895, 0.056884, 200313
40, 896, 0.056094, 200564
40, 897, 0.058658, 200892
40, 898, 0.060033, 201342
40, 899, 0.055735, 201936
40, 900, 0.055899, 202124
40, 901, 0.057033, 202646
40, 902, 0.059545, 202971
40, 903, 0.055111, 203305
40, 904, 0.056120, 203634
40, 905, 0.058969, 204104
40, 906, 0.056034, 204438
40, 907, 0.056890, 205345
40, 908, 0.062381, 205725
40, 909, 0.055773, 206106
40, 910, 0.057335, 206344
40, 911, 0.056334, 207255
40, 912, 0.057054, 207470
40, 913, 0.056089, 207975
40, 914, 0.057631, 208433
40, 915, 0.060051, 208773
40, 916, 0.062136, 209156
40, 917, 0.058651, 209645
40, 918, 0.059158, 209892
40, 919, 0.060587, 210811
40, 920, 0.059651, 211062
40, 921, 0.057755, 211524
40, 922, 0.059010, 211986
40, 923, 0.059065, 212501
40, 924, 0.055590, 212707
40, 925, 0.056716, 213112
40, 926, 0.056392, 213576
40, 927, 0.062906, 213964
40, 928, 0.058985, 214247
40, 929, 0.058355, 215176
40, 930, 0.056417, 215418
40, 931, 0.059971, 215830
